month_num,char11,char1,char2,char3,char4,char5,char6,char7,char8,char9,char10,prodid_num,quantity,value
0,brand_a,10.6,16006,val_w,val_a,val_a,PRG566,CCC,150D,B230,ted,3,280,196420
1,brand_a,10.6,16006,val_w,val_a,val_a,PRG566,CCC,150D,B230,ted,3,126,85312
2,brand_a,10.6,16006,val_w,val_a,val_a,PRG566,CCC,150D,B230,ted,3,148,95920
3,brand_a,10.6,16006,val_w,val_a,val_a,PRG566,CCC,150D,B230,ted,3,56,38552
4,brand_a,10.6,16006,val_w,val_a,val_a,PRG566,CCC,150D,B230,ted,3,69,47397
5,brand_a,10.6,16006,val_w,val_a,val_a,PRG566,CCC,150D,B230,ted,3,43,28303
6,brand_a,10.6,16006,val_w,val_a,val_a,PRG566,CCC,150D,B230,ted,3,22,14812
7,brand_a,10.6,16006,val_w,val_a,val_a,PRG566,CCC,150D,B230,ted,3,21,13701
8,brand_a,10.6,16006,val_w,val_a,val_a,PRG566,CCC,150D,B230,ted,3,9,6304
9,brand_a,10.6,16006,val_w,val_a,val_a,PRG566,CCC,150D,B230,ted,3,17,10651
10,brand_a,10.6,16006,val_w,val_a,val_a,PRG566,CCC,150D,B230,ted,3,12,8070
11,brand_a,10.6,16006,val_w,val_a,val_a,PRG566,CCC,150D,B230,ted,3,21,11476
12,brand_a,10.6,16006,val_w,val_a,val_a,PRG566,CCC,150D,B230,ted,3,8,4462
13,brand_a,10.6,16006,val_w,val_a,val_a,PRG566,CCC,150D,B230,ted,3,1,1003
14,brand_a,10.6,16006,val_w,val_a,val_a,PRG566,CCC,150D,B230,ted,3,2,1491
16,brand_a,10.6,16006,val_w,val_a,val_a,PRG566,CCC,150D,B230,ted,3,3,1728
17,brand_a,10.6,16006,val_w,val_a,val_a,PRG566,CCC,150D,B230,ted,3,2,1208
20,brand_a,10.6,16006,val_w,val_a,val_a,PRG566,CCC,150D,B230,ted,3,2,1138
22,brand_a,10.6,16006,val_w,val_a,val_a,PRG566,CCC,150D,B230,ted,3,1,491
0,brand_a,10.6,3718,val_i,val_a,val_a,PRG566,AAA,100M,B230,cuy,8,973,360137
1,brand_a,10.6,3718,val_i,val_a,val_a,PRG566,AAA,100M,B230,cuy,8,664,243023
2,brand_a,10.6,3718,val_i,val_a,val_a,PRG566,AAA,100M,B230,cuy,8,472,176015
3,brand_a,10.6,3718,val_i,val_a,val_a,PRG566,AAA,100M,B230,cuy,8,490,177386
4,brand_a,10.6,3718,val_i,val_a,val_a,PRG566,AAA,100M,B230,cuy,8,490,173981
5,brand_a,10.6,3718,val_i,val_a,val_a,PRG566,AAA,100M,B230,cuy,8,355,116530
6,brand_a,10.6,3718,val_i,val_a,val_a,PRG566,AAA,100M,B230,cuy,8,1036,340208
7,brand_a,10.6,3718,val_i,val_a,val_a,PRG566,AAA,100M,B230,cuy,8,422,147449
8,brand_a,10.6,3718,val_i,val_a,val_a,PRG566,AAA,100M,B230,cuy,8,246,86102
8,brand_a,10.6,3718,val_i,val_a,val_a,PRG566,AAA,100M,B230,cuy,8,19,7562
9,brand_a,10.6,3718,val_i,val_a,val_a,PRG566,AAA,100M,B230,cuy,8,250,80895
